Number of words,2415830
Number of unique words,84141
Average word frequency,28.711686
Entropy,7.469870

Word,Frequency,Proportion,Entropy Term
house,22964,0.009506,0.044257
street,5439,0.002251,0.013725
bit,2806,0.001162,0.007849
nosey,2,0.000001,0.000012
mid,68,0.000028,0.000295
night,6634,0.002746,0.016195
didnt,5276,0.002184,0.013380
impact,18,0.000007,0.000088
whats,89,0.000037,0.000376
preparing,59,0.000024,0.000259
surprise,297,0.000123,0.001107
food,2272,0.000940,0.006554
highly,7492,0.003101,0.017912
excellent,4119,0.001705,0.010868
pied,80,0.000033,0.000342
terre,17,0.000007,0.000083
furnishing,31,0.000013,0.000145
tastefully,304,0.000126,0.001130
decorated,2120,0.000878,0.006176
fooddrinks,4,0.000002,0.000022
provided,4087,0.001692,0.010797
really,16205,0.006708,0.033569
nice,23416,0.009693,0.044939
touch,1056,0.000437,0.003381
thank,5646,0.002337,0.014160
lovely,7460,0.003088,0.017849
fantastic,4400,0.001821,0.011489
sightseeing,249,0.000103,0.000946
car,3500,0.001449,0.009471
parking,10853,0.004492,0.024283
big,3127,0.001294,0.008607
plus,2070,0.000857,0.006051
spacious,5396,0.002234,0.013634
central,1998,0.000827,0.005870
busy,970,0.000402,0.003140
intersection,26,0.000011,0.000123
hardly,122,0.000051,0.000500
heard,205,0.000085,0.000795
slept,945,0.000391,0.003069
happy,1855,0.000768,0.005507
happily,255,0.000106,0.000966
staying,9501,0.003933,0.021781
lamy,3,0.000001,0.000017
pieces,77,0.000032,0.000330
advice,617,0.000255,0.002113
driving,630,0.000261,0.002152
taxiubering,1,0.000000,0.000006
directions,704,0.000291,0.002372
hard,914,0.000378,0.002981
head,323,0.000134,0.001193
driveway,555,0.000230,0.001925
corner,751,0.000311,0.002511
franklin,48,0.000020,0.000215
ave,242,0.000100,0.000922
highland,207,0.000086,0.000802
sensitive,282,0.000117,0.001057
contents,189,0.000078,0.000740
hidden,762,0.000315,0.002543
maps,142,0.000059,0.000573
continue,74,0.000031,0.000318
private,5313,0.002199,0.013459
use,3524,0.001459,0.009526
uber,1328,0.000550,0.004126
pick,377,0.000156,0.001368
easier,289,0.000120,0.001080
way,3160,0.001308,0.008684
grest,3,0.000001,0.000017
helpful,8899,0.003684,0.020642
kitchen,5803,0.002402,0.014488
bottle,581,0.000240,0.002004
wine,1163,0.000481,0.003677
atmosphere,423,0.000175,0.001515
safe,4856,0.002010,0.012482
beautiful,9732,0.004028,0.022214
view,3219,0.001332,0.008822
hairy,4,0.000002,0.000022
lot,4039,0.001672,0.010690
walkable,751,0.000311,0.002511
hosting,418,0.000173,0.001499
oriented,54,0.000022,0.000239
property,2910,0.001205,0.008097
felt,6056,0.002507,0.015013
perfectly,1475,0.000611,0.004519
home,16433,0.006802,0.033947
extra,1549,0.000641,0.004714
things,3159,0.001308,0.008682
nicely,982,0.000406,0.003174
stocked,1352,0.000560,0.004191
enjoyed,6995,0.002895,0.016923
proximity,510,0.000211,0.001787
bowl,314,0.000130,0.001163
walking,5779,0.002392,0.014438
distance,4805,0.001989,0.012372
blv,59,0.000024,0.000259
overall,3633,0.001504,0.009775
airbnb,6600,0.002732,0.016126
feel,7122,0.002948,0.017177
choice,576,0.000238,0.001989
welcome,3385,0.001401,0.009206
apparent,35,0.000014,0.000161
start,713,0.000295,0.002399
good,13314,0.005511,0.028663
communication,3642,0.001508,0.009795
professional,456,0.000189,0.001619
set,1231,0.000510,0.003863
wellappointed,141,0.000058,0.000569
arrival,4010,0.001660,0.010625
beers,71,0.000029,0.000307
fresh,1322,0.000547,0.004110
fruit,577,0.000239,0.001992
coffee,3803,0.001574,0.010160
necessary,435,0.000180,0.001553
accoutrements,5,0.000002,0.000027
creamer,27,0.000011,0.000127
sugar,49,0.000020,0.000219
etcall,3,0.000001,0.000017
waiting,556,0.000230,0.001928
greatly,199,0.000082,0.000775
describes,48,0.000020,0.000215
appropriately,17,0.000007,0.000083
accurately,164,0.000068,0.000652
complaints,378,0.000156,0.001371
whatsoever,101,0.000042,0.000422
attending,166,0.000069,0.000659
concert,140,0.000058,0.000565
pretty,2618,0.001084,0.007399
need,7024,0.002907,0.016981
want,3530,0.001461,0.009539
town,2143,0.000887,0.006234
yall,12,0.000005,0.000061
ive,1513,0.000626,0.004619
spot,4083,0.001690,0.010788
couples,324,0.000134,0.001196
writers,20,0.000008,0.000097
retreat,517,0.000214,0.001808
cheers,84,0.000035,0.000357
youre,2461,0.001019,0.007018
going,2020,0.000836,0.005926
minute,2575,0.001066,0.007295
sheets,748,0.000310,0.002502
soft,352,0.000146,0.001287
special,714,0.000296,0.002402
attractions,1234,0.000511,0.003872
simple,1110,0.000459,0.003531
loved,7201,0.002981,0.017335
absolutely,3331,0.001379,0.009082
bright,943,0.000390,0.003064
n,236,0.000098,0.000902
breezy,82,0.000034,0.000349
space,8970,0.003713,0.020778
incredibly,1289,0.000534,0.004021
situated,550,0.000228,0.001910
wonderfully,281,0.000116,0.001054
wake,229,0.000095,0.000878
naturally,25,0.000010,0.000119
morning,3010,0.001246,0.008333
adored,35,0.000014,0.000161
sitting,475,0.000197,0.001678
evening,945,0.000391,0.003069
landing,36,0.000015,0.000166
nestled,144,0.000060,0.000580
away,5944,0.002460,0.014781
super,8969,0.003713,0.020776
hustle,199,0.000082,0.000775
extras,183,0.000076,0.000719
checkin,2035,0.000842,0.005963
seamless,277,0.000115,0.001040
able,3068,0.001270,0.008469
later,620,0.000257,0.002122
schedule,483,0.000200,0.001703
heartbeat,318,0.000132,0.001176
accommodation,763,0.000316,0.002546
arrive,424,0.000176,0.001518
fun,1988,0.000823,0.005845
assortment,47,0.000019,0.000211
beer,183,0.000076,0.000719
cheese,237,0.000098,0.000905
like,10652,0.004409,0.023916
hotel,1832,0.000758,0.005448
literally,750,0.000310,0.002508
block,1113,0.000461,0.003540
boulevard,533,0.000221,0.001857
value,1488,0.000616,0.004553
flat,887,0.000367,0.002904
mins,568,0.000235,0.001964
blvd,1464,0.000606,0.004490
went,2652,0.001098,0.007481
buses,190,0.000079,0.000743
responding,294,0.000122,0.001097
messages,584,0.000242,0.002013
comfy,2879,0.001192,0.008023
action,269,0.000111,0.001014
provisions,38,0.000016,0.000174
gesture,49,0.000020,0.000219
best,5449,0.002256,0.013746
regards,99,0.000041,0.000414
awesome,5047,0.002089,0.012892
center,994,0.000411,0.003208
near,2927,0.001212,0.008137
main,1522,0.000630,0.004643
attraction,60,0.000025,0.000263
beautifulthe,9,0.000004,0.000047
fruits,161,0.000067,0.000641
morei,10,0.000004,0.000051
trip,3881,0.001606,0.010336
looks,1268,0.000525,0.003964
know,2061,0.000853,0.006029
air,2003,0.000829,0.005883
bnb,772,0.000320,0.002572
utilized,23,0.000010,0.000110
outdoor,1335,0.000553,0.004145
walked,1000,0.000414,0.003224
sights,310,0.000128,0.001150
represented,74,0.000031,0.000318
listings,79,0.000033,0.000338
photos,1743,0.000721,0.005219
description,1298,0.000537,0.004045
wanted,1681,0.000696,0.005059
surprisingly,169,0.000070,0.000669
tucked,284,0.000118,0.001064
perk,133,0.000055,0.000540
entire,945,0.000391,0.003069
process,952,0.000394,0.003089
completely,690,0.000286,0.002331
turnkey,6,0.000002,0.000032
superb,387,0.000160,0.001400
overlooked,27,0.000011,0.000127
worryfree,4,0.000002,0.000022
joyous,4,0.000002,0.000022
makes,1201,0.000497,0.003782
rental,1006,0.000416,0.003241
unnecessary,18,0.000007,0.000088
large,2176,0.000901,0.006316
prepare,177,0.000073,0.000698
meals,403,0.000167,0.001451
eating,328,0.000136,0.001209
business,937,0.000388,0.003047
bat,17,0.000007,0.000083
snacks,1055,0.000437,0.003378
respond,1183,0.000490,0.003732
neighborhood,9422,0.003900,0.021633
thing,1614,0.000668,0.004884
tricky,217,0.000090,0.000837
ubers,48,0.000020,0.000215
holiday,311,0.000129,0.001153
inn,28,0.000012,0.000132
express,70,0.000029,0.000303
avoid,160,0.000066,0.000637
confusion,51,0.000021,0.000227
issue,1318,0.000546,0.004099
tip,100,0.000041,0.000418
future,1497,0.000620,0.004577
